X,Y,Z,Yaw,Pitch,Roll
-0.000918073,0.017150189,0.000138564,0,0,0
-0.001805372,0.0333654,0.000238045,0,0,0
-0.002663321,0.048663666,0.000299761,0,0,0
-0.003493344,0.063063022,0.000325026,0,0,0
-0.004296864,0.076581501,0.000315156,0,0,0
-0.005075305,0.089237137,0.000271467,0,0,0
-0.005830091,0.101047964,0.000195274,0,0,0
-0.006562646,0.112032015,0.000087892,0,0,0
-0.007274394,0.122207325,-0.000049363,0,0,0
-0.007966758,0.131591926,-0.000215176,0,0,0
-0.008641162,0.140203853,-0.00040823,0,0,0
-0.009299031,0.14806114,-0.000627211,0,0,0
-0.009941787,0.15518182,-0.000870802,0,0,0
-0.010570855,0.161583928,-0.001137689,0,0,0
-0.011187659,0.167285496,-0.001426556,0,0,0
-0.011793622,0.172304559,-0.001736087,0,0,0
-0.012390168,0.17665915,-0.002064966,0,0,0
-0.012978722,0.180367304,-0.002411879,0,0,0
-0.013560706,0.183447053,-0.00277551,0,0,0
-0.014137545,0.185916433,-0.003154542,0,0,0
-0.014710662,0.187793476,-0.003547662,0,0,0
-0.015281481,0.189096216,-0.003953552,0,0,0
-0.015851427,0.189842687,-0.004370898,0,0,0
-0.016421922,0.190050923,-0.004798384,0,0,0
-0.016994392,0.189738958,-0.005234695,0,0,0
-0.017570258,0.188924825,-0.005678515,0,0,0
-0.018150947,0.187626559,-0.006128528,0,0,0
-0.01873788,0.185862192,-0.006583419,0,0,0
-0.019332482,0.183649759,-0.007041872,0,0,0
-0.019936177,0.181007294,-0.007502573,0,0,0
-0.020550389,0.17795283,-0.007964204,0,0,0
-0.021176541,0.174504401,-0.008425452,0,0,0
-0.021816057,0.17068004,-0.008885,0,0,0
-0.022470362,0.166497783,-0.009341533,0,0,0
-0.023140878,0.161975662,-0.009793735,0,0,0
-0.02382903,0.15713171,-0.01024029,0,0,0
-0.024536241,0.151983963,-0.010679884,0,0,0
-0.025263936,0.146550454,-0.011111201,0,0,0
-0.026013538,0.140849216,-0.011532925,0,0,0
-0.026786471,0.134898283,-0.01194374,0,0,0
-0.027584159,0.128715689,-0.012342331,0,0,0
-0.028408025,0.122319468,-0.012727383,0,0,0
-0.029259494,0.115727654,-0.013097581,0,0,0
-0.030139989,0.10895828,-0.013451607,0,0,0
-0.031050934,0.10202938,-0.013788148,0,0,0
-0.031993753,0.094958988,-0.014105887,0,0,0
-0.03296987,0.087765138,-0.014403509,0,0,0
-0.033980708,0.080465863,-0.014679698,0,0,0
-0.035027691,0.073079197,-0.014933139,0,0,0
-0.036112243,0.065623174,-0.015162517,0,0,0
-0.037235789,0.058115828,-0.015366516,0,0,0
-0.038399751,0.050575193,-0.015543819,0,0,0
-0.039605554,0.043019302,-0.015693113,0,0,0
-0.040854621,0.035466189,-0.015813081,0,0,0
-0.042148376,0.027933888,-0.015902407,0,0,0
-0.043488244,0.020440432,-0.015959777,0,0,0
-0.044875647,0.013003856,-0.015983874,0,0,0
-0.04631201,0.005642193,-0.015973384,0,0,0
-0.047798756,-0.001626523,-0.01592699,0,0,0
-0.04933731,-0.008784259,-0.015843377,0,0,0
-0.050929095,-0.015812979,-0.01572123,0,0,0
