X,Y,Z,Yaw,Pitch,Roll
2.151679885,2.094167639,0.131896464,-150.0394036,9.425955955,-4.76251621
2.156752422,2.057488264,0.132249526,-150.3128571,9.386677884,-4.719230753
2.161869507,2.021218207,0.132590014,-150.5898982,9.347032662,-4.675459057
2.16703114,1.985357468,0.132916926,-150.8705269,9.306991025,-4.631201124
2.17223732,1.949906048,0.133230819,-151.1547432,9.266569223,-4.586456954
2.177488049,1.914863947,0.133530302,-151.4425471,9.225726615,-4.541226545
2.182783325,1.880231164,0.13381609,-151.7339386,9.184484146,-4.495509899
2.188123149,1.846007699,0.134086774,-152.0289177,9.142800593,-4.449307016
2.193507521,1.812193553,0.134342836,-152.3274843,9.100690092,-4.402617894
2.198936441,1.778788726,0.134583255,-152.6296386,9.058122818,-4.355442535
2.204409908,1.745793217,0.134807845,-152.9353805,9.015093331,-4.307780939
2.209927924,1.713207026,0.135016427,-153.2447099,8.971596379,-4.259633104
2.215490487,1.681030154,0.135207671,-153.5576269,8.927593154,-4.210999032
2.221097598,1.649262601,0.135381846,-153.8741316,8.883091525,-4.161878723
2.226749257,1.617904366,0.135538373,-154.1942238,8.838074535,-4.112272176
2.232445463,1.586955449,0.135676256,-154.5179036,8.792513164,-4.062179391
2.238186218,1.556415851,0.135795069,-154.845171,8.746394906,-4.011600368
2.24397152,1.526285572,0.135894372,-155.176026,8.699706974,-3.960535108
2.24980137,1.496564611,0.135973468,-155.5104686,8.652428983,-3.90898361
2.255675768,1.467252969,0.136031625,-155.8484988,8.604539563,-3.856945874
2.261594714,1.438350645,0.136068076,-156.1901166,8.556016299,-3.804421901
2.267558208,1.409857639,0.136082014,-156.535322,8.506835667,-3.75141169
2.273566249,1.381773952,0.136072594,-156.8841149,8.456972964,-3.697915241
2.279618839,1.354099584,0.136038927,-157.2364955,8.406402233,-3.643932555
2.285715976,1.326834534,0.135980078,-157.5924637,8.355096185,-3.589463631
2.291857661,1.299978803,0.135895065,-157.9520194,8.303026109,-3.53450847
2.298043894,1.27353239,0.135782851,-158.3151627,8.250161779,-3.47906707
2.304274674,1.247495295,0.135642347,-158.6818937,8.196471354,-3.423139433
2.310550003,1.22186752,0.135472403,-159.0522122,8.141921269,-3.366725559
2.316869879,1.196649062,0.135271779,-159.4261183,8.086475322,-3.309825447
2.323234303,1.171839923,0.135038265,-159.803612,8.030068963,-3.252439097
2.329643275,1.147440103,0.134771281,-160.1846933,7.97268525,-3.194566509
2.336096795,1.123449601,0.134468904,-160.5693622,7.914268061,-3.136207684
2.342594862,1.099868418,0.134129003,-160.9576187,7.85475515,-3.077362621
2.349137478,1.076696553,0.133750156,-161.3494628,7.794104994,-3.01803132
2.355724641,1.053934007,0.133329901,-161.7448944,7.732245695,-2.958213782
2.362356352,1.031580779,0.132865809,-162.1439137,7.669106349,-2.897910006
2.369032611,1.00963687,0.132355792,-162.5465206,7.604625981,-2.837119993
2.375753418,0.988102279,0.13179688,-162.952715,7.538717837,-2.775843742
2.382518772,0.966977007,0.13118584,-163.3624971,7.471287521,-2.714081253
2.389328675,0.946261053,0.130519147,-163.7758667,7.402232124,-2.651832526
2.396183125,0.925954417,0.129792952,-164.1928239,7.33143925,-2.589097562
2.403082123,0.906057101,0.129003043,-164.6133687,7.25878589,-2.52587636
2.410025669,0.886569102,0.128144801,-165.0375012,7.184137147,-2.46216892
