X,Y,Z,Yaw,Pitch,Roll
2.828427125,0,1,0,180,0
2.827806804,0.059234108,1,1.2,180,0
2.825946114,0.118442235,1,2.4,180,0
2.82284587,0.177598409,1,3.6,180,0
2.818507433,0.236676682,1,4.8,180,0
2.812932705,0.295651141,1,6,180,0
2.806124132,0.354495917,1,7.2,180,0
2.7980847,0.4131852,1,8.4,180,0
2.788817936,0.471693247,1,9.6,180,0
2.778327904,0.529994393,1,10.8,180,0
2.766619206,0.588063066,1,12,180,0
2.753696977,0.645873795,1,13.2,180,0
2.739566886,0.703401223,1,14.4,180,0
2.724235129,0.760620115,1,15.6,180,0
2.707708434,0.817505374,1,16.8,180,0
2.689994048,0.874032049,1,18,180,0
2.671099742,0.930175344,1,19.2,180,0
2.651033803,0.985910634,1,20.4,180,0
2.629805033,1.04121347,1,21.6,180,0
2.607422743,1.096059596,1,22.8,180,0
2.583896752,1.150424954,1,24,180,0
2.559237378,1.204285697,1,25.2,180,0
2.533455439,1.257618201,1,26.4,180,0
2.506562242,1.310399073,1,27.6,180,0
2.478569583,1.362605159,1,28.8,180,0
2.449489743,1.414213562,1,30,180,0
2.419335475,1.465201645,1,31.2,180,0
2.388120007,1.515547041,1,32.4,180,0
2.35585703,1.565227668,1,33.6,180,0
2.322560697,1.614221735,1,34.8,180,0
2.288245611,1.662507751,1,36,180,0
2.252926826,1.710064536,1,37.2,180,0
2.216619832,1.75687123,1,38.4,180,0
2.179340556,1.802907303,1,39.6,180,0
2.141105349,1.84815256,1,40.8,180,0
2.101930982,1.892587157,1,42,180,0
2.061834639,1.936191603,1,43.2,180,0
2.020833907,1.97894677,1,44.4,180,0
1.97894677,2.020833907,1,45.6,180,0
1.936191603,2.061834639,1,46.8,180,0
1.892587157,2.101930982,1,48,180,0
1.84815256,2.141105349,1,49.2,180,0
1.802907303,2.179340556,1,50.4,180,0
1.75687123,2.216619832,1,51.6,180,0
1.710064536,2.252926826,1,52.8,180,0
1.662507751,2.288245611,1,54,180,0
1.614221735,2.322560697,1,55.2,180,0
1.565227668,2.35585703,1,56.4,180,0
1.515547041,2.388120007,1,57.6,180,0
1.465201645,2.419335475,1,58.8,180,0
1.414213562,2.449489743,1,60,180,0
1.362605159,2.478569583,1,61.2,180,0
1.310399073,2.506562242,1,62.4,180,0
1.257618201,2.533455439,1,63.6,180,0
1.204285697,2.559237378,1,64.8,180,0
1.150424954,2.583896752,1,66,180,0
1.096059596,2.607422743,1,67.2,180,0
1.04121347,2.629805033,1,68.4,180,0
0.985910634,2.651033803,1,69.6,180,0
0.930175344,2.671099742,1,70.8,180,0
0.874032049,2.689994048,1,72,180,0
0.817505374,2.707708434,1,73.2,180,0
0.760620115,2.724235129,1,74.4,180,0
0.703401223,2.739566886,1,75.6,180,0
0.645873795,2.753696977,1,76.8,180,0
0.588063066,2.766619206,1,78,180,0
0.529994393,2.778327904,1,79.2,180,0
0.471693247,2.788817936,1,80.4,180,0
0.4131852,2.7980847,1,81.6,180,0
0.354495917,2.806124132,1,82.8,180,0
0.295651141,2.812932705,1,84,180,0
0.236676682,2.818507433,1,85.2,180,0
0.177598409,2.82284587,1,86.4,180,0
0.118442235,2.825946114,1,87.6,180,0
0.059234108,2.827806804,1,88.8,180,0
-6.31E-15,2.828427125,1,90,180,0
-0.059234108,2.827806804,1,91.2,180,0
-0.118442235,2.825946114,1,92.4,180,0
-0.177598409,2.82284587,1,93.6,180,0
-0.236676682,2.818507433,1,94.8,180,0
-0.295651141,2.812932705,1,96,180,0
-0.354495917,2.806124132,1,97.2,180,0
-0.4131852,2.7980847,1,98.4,180,0
-0.471693247,2.788817936,1,99.6,180,0
-0.529994393,2.778327904,1,100.8,180,0
-0.588063066,2.766619206,1,102,180,0
-0.645873795,2.753696977,1,103.2,180,0
-0.703401223,2.739566886,1,104.4,180,0
-0.760620115,2.724235129,1,105.6,180,0
-0.817505374,2.707708434,1,106.8,180,0
-0.874032049,2.689994048,1,108,180,0
-0.930175344,2.671099742,1,109.2,180,0
-0.985910634,2.651033803,1,110.4,180,0
-1.04121347,2.629805033,1,111.6,180,0
-1.096059596,2.607422743,1,112.8,180,0
-1.150424954,2.583896752,1,114,180,0
-1.204285697,2.559237378,1,115.2,180,0
-1.257618201,2.533455439,1,116.4,180,0
-1.310399073,2.506562242,1,117.6,180,0
-1.362605159,2.478569583,1,118.8,180,0
-1.414213562,2.449489743,1,120,180,0
-1.465201645,2.419335475,1,121.2,180,0
-1.515547041,2.388120007,1,122.4,180,0
-1.565227668,2.35585703,1,123.6,180,0
-1.614221735,2.322560697,1,124.8,180,0
-1.662507751,2.288245611,1,126,180,0
-1.710064536,2.252926826,1,127.2,180,0
-1.75687123,2.216619832,1,128.4,180,0
-1.802907303,2.179340556,1,129.6,180,0
-1.84815256,2.141105349,1,130.8,180,0
-1.892587157,2.101930982,1,132,180,0
-1.936191603,2.061834639,1,133.2,180,0
-1.97894677,2.020833907,1,134.4,180,0
-2.020833907,1.97894677,1,135.6,180,0
-2.061834639,1.936191603,1,136.8,180,0
-2.101930982,1.892587157,1,138,180,0
-2.141105349,1.84815256,1,139.2,180,0
-2.179340556,1.802907303,1,140.4,180,0
-2.216619832,1.75687123,1,141.6,180,0
-2.252926826,1.710064536,1,142.8,180,0
-2.288245611,1.662507751,1,144,180,0
-2.322560697,1.614221735,1,145.2,180,0
-2.35585703,1.565227668,1,146.4,180,0
-2.388120007,1.515547041,1,147.6,180,0
-2.419335475,1.465201645,1,148.8,180,0
-2.449489743,1.414213562,1,150,180,0
-2.478569583,1.362605159,1,151.2,180,0
-2.506562242,1.310399073,1,152.4,180,0
-2.533455439,1.257618201,1,153.6,180,0
-2.559237378,1.204285697,1,154.8,180,0
-2.583896752,1.150424954,1,156,180,0
-2.607422743,1.096059596,1,157.2,180,0
-2.629805033,1.04121347,1,158.4,180,0
-2.651033803,0.985910634,1,159.6,180,0
