X,Y,Z,Yaw,Pitch,Roll
-0.229451649,2.621685148,-3.491605994,39.501484739,-4.729043680,131.027616838
-0.236185438,2.646409535,-3.550211943,39.476782649,-4.761191120,130.980471538
-0.242733217,2.672112709,-3.610169841,39.451718469,-4.793952000,130.932820938
-0.249094986,2.698794670,-3.671479688,39.426292199,-4.827326320,130.884665038
-0.255270744,2.726455418,-3.734141484,39.400503839,-4.861314080,130.836003838
-0.261260491,2.755094953,-3.798155229,39.374353389,-4.895915280,130.786837338
-0.267064228,2.784713275,-3.863520923,39.347840849,-4.931129920,130.737165538
-0.272681955,2.815310384,-3.930238566,39.320966219,-4.966958000,130.686988438
-0.278113671,2.846886280,-3.998308158,39.293729499,-5.003399520,130.636306038
-0.283359376,2.879440963,-4.067729699,39.266130689,-5.040454480,130.585118338
-0.288419071,2.912974433,-4.138503189,39.238169789,-5.078122880,130.533425338
-0.293292756,2.947486690,-4.210628628,39.209846799,-5.116404720,130.481227038
-0.297980430,2.982977734,-4.284106016,39.181161719,-5.155300000,130.428523438
-0.302482093,3.019447565,-4.358935353,39.152114549,-5.194808720,130.375314538
-0.306797746,3.056896183,-4.435116639,39.122705289,-5.234930880,130.321600338
-0.310927389,3.095323588,-4.512649874,39.092933939,-5.275666480,130.267380838
-0.314871021,3.134729780,-4.591535058,39.062800499,-5.317015520,130.212656038
-0.318628642,3.175114759,-4.671772191,39.032304969,-5.358978000,130.157425938
-0.322200253,3.216478525,-4.753361273,39.001447349,-5.401553920,130.101690538
-0.325585854,3.258821078,-4.836302304,38.970227639,-5.444743280,130.045449838
-0.328785444,3.302142418,-4.920595284,38.938645839,-5.488546080,129.988703838
-0.331799023,3.346442545,-5.006240213,38.906701949,-5.532962320,129.931452538
-0.334626592,3.391721459,-5.093237091,38.874395969,-5.577992000,129.873695938
-0.337268151,3.437979160,-5.181585918,38.841727899,-5.623635120,129.815434038
-0.339723699,3.485215648,-5.271286694,38.808697739,-5.669891680,129.756666838
-0.341993236,3.533430923,-5.362339419,38.775305489,-5.716761680,129.697394338
-0.344076763,3.582624985,-5.454744093,38.741551149,-5.764245120,129.637616538
-0.345974280,3.632797834,-5.548500716,38.707434719,-5.812342000,129.577333438
-0.347685786,3.683949470,-5.643609288,38.672956199,-5.861052320,129.516545038
-0.349211281,3.736079893,-5.740069809,38.638115589,-5.910376080,129.455251338
-0.350550766,3.789189103,-5.837882279,38.602912889,-5.960313280,129.393452338
-0.351704241,3.843277100,-5.937046698,38.567348099,-6.010863920,129.331148038
-0.352671705,3.898343884,-6.037563066,38.531421219,-6.062028000,129.268338438
-0.353453158,3.954389455,-6.139431383,38.495132249,-6.113805520,129.205023538
-0.354048601,4.011413813,-6.242651649,38.458481189,-6.166196480,129.141203338
-0.354458034,4.069416958,-6.347223864,38.421468039,-6.219200880,129.076877838
-0.354681456,4.128398890,-6.453148028,38.384092799,-6.272818720,129.012047038
-0.354718867,4.188359609,-6.560424141,38.346355469,-6.327050000,128.946710938
-0.354570268,4.249299115,-6.669052203,38.308256049,-6.381894720,128.880869538
-0.354235659,4.311217408,-6.779032214,38.269794539,-6.437352880,128.814522838
-0.353715039,4.374114488,-6.890364174,38.230970939,-6.493424480,128.747670838
-0.353008408,4.437990355,-7.003048083,38.191785249,-6.550109520,128.680313538
-0.352115767,4.502845009,-7.117083941,38.152237469,-6.607408000,128.612450938
-0.351037116,4.568678450,-7.232471748,38.112327599,-6.665319920,128.544083038
-0.349772454,4.635490678,-7.349211504,38.072055639,-6.723845280,128.475209838
-0.348321781,4.703281693,-7.467303209,38.031421589,-6.782984080,128.405831338
-0.346685098,4.772051495,-7.586746863,37.990425449,-6.842736320,128.335947538
-0.344862405,4.841800084,-7.707542466,37.949067219,-6.903102000,128.265558438
-0.342853701,4.912527460,-7.829690018,37.907346899,-6.964081120,128.194664038
-0.340658986,4.984233623,-7.953189519,37.865264489,-7.025673680,128.123264338
-0.338278261,5.056918573,-8.078040969,37.822819989,-7.087879680,128.051359338
-0.335711526,5.130582310,-8.204244368,37.780013399,-7.150699120,127.978949038
-0.332958780,5.205224834,-8.331799716,37.736844719,-7.214132000,127.906033438
-0.330020023,5.280846145,-8.460707013,37.693313949,-7.278178320,127.832612538
-0.326895256,5.357446243,-8.590966259,37.649421089,-7.342838080,127.758686338
-0.323584479,5.435025128,-8.722577454,37.605166139,-7.408111280,127.684254838
-0.320087691,5.513582800,-8.855540598,37.560549099,-7.473997920,127.609318038
-0.316404892,5.593119259,-8.989855691,37.515569969,-7.540498000,127.533875938
-0.312536083,5.673634505,-9.125522733,37.470228749,-7.607611520,127.457928538
-0.308481264,5.755128538,-9.262541724,37.424525439,-7.675338480,127.381475838
-0.304240434,5.837601358,-9.400912664,37.378460039,-7.743678880,127.304517838
-0.299813593,5.921052965,-9.540635553,37.332032549,-7.812632720,127.227054538
-0.295200742,6.005483359,-9.681710391,37.285242969,-7.882200000,127.149085938
-0.290401881,6.090892540,-9.824137178,37.238091299,-7.952380720,127.070612038
