X,Y,Z,Yaw,Pitch,Roll
0.00878423,0.28335,-0.070787,0,0,0
0.00763077,0.27268,-0.070681,0,0,0
0.00688695,0.26323,-0.070442,0,0,0
0.00634207,0.25377,-0.070832,0,0,0
0.0059388,0.2458,-0.070646,0,0,0
0.00559531,0.23643,-0.071102,0,0,0
0.00534492,0.22703,-0.07152,0,0,0
0.00517832,0.21838,-0.071236,0,0,0
0.00509404,0.20948,-0.071168,0,0,0
0.00505582,0.19963,-0.071451,0,0,0
0.00528563,0.1889,-0.071855,0,0,0
0.00615097,0.17953,-0.071507,0,0,0
0.00726964,0.1701,-0.070861,0,0,0
0.00875189,0.16256,-0.070703,0,0,0
0.01028559,0.15448,-0.071762,0,0,0
0.01239798,0.14697,-0.072698,0,0,0
0.01458044,0.14077,-0.073814,0,0,0
0.01698389,0.13444,-0.073716,0,0,0
0.01966909,0.12748,-0.072547,0,0,0
0.02244641,0.11849,-0.070839,0,0,0
0.02507526,0.1102,-0.068602,0,0,0
0.02728614,0.1019,-0.066999,0,0,0
0.02928681,0.091919,-0.066305,0,0,0
0.03156433,0.083885,-0.064429,0,0,0
0.03347239,0.075258,-0.06065,0,0,0
0.03487771,0.066117,-0.056208,0,0,0
0.03573178,0.052487,-0.052962,0,0,0
0.03618944,0.038911,-0.051106,0,0,0
0.03632713,0.026676,-0.049751,0,0,0
0.0359954,0.017448,-0.048612,0,0,0
0.03485468,0.0062956,-0.046992,0,0,0
0.03241693,-0.0047664,-0.046572,0,0,0
0.02969106,-0.01673,-0.045824,0,0,0
0.02675057,-0.02959,-0.045165,0,0,0
0.02338231,-0.04336,-0.044598,0,0,0
0.01979894,-0.058715,-0.045749,0,0,0
0.0151802,-0.076198,-0.048296,0,0,0
0.01036644,-0.09088,-0.050971,0,0,0
0.0052724,-0.1048,-0.055033,0,0,0
0.000106943,-0.12144,-0.060004,0,0,0
-0.003264429,-0.13708,-0.064324,0,0,0
-0.00684677,-0.15351,-0.068689,0,0,0
-0.00998375,-0.17185,-0.072594,0,0,0
-0.01317316,-0.19079,-0.076097,0,0,0
-0.01578241,-0.20411,-0.078171,0,0,0
-0.01817067,-0.21625,-0.078033,0,0,0
-0.02049523,-0.22885,-0.077735,0,0,0
-0.02255568,-0.24039,-0.077701,0,0,0
-0.02423736,-0.25005,-0.076797,0,0,0
-0.02629732,-0.25726,-0.07466,0,0,0
-0.02910649,-0.26201,-0.074709,0,0,0
-0.03132815,-0.26566,-0.075319,0,0,0
-0.03319407,-0.26868,-0.078476,0,0,0
-0.0349762,-0.27066,-0.081121,0,0,0
-0.03690288,-0.27179,-0.083073,0,0,0
-0.03870461,-0.27275,-0.082723,0,0,0
-0.04033239,-0.27235,-0.083302,0,0,0
-0.04203367,-0.26919,-0.084755,0,0,0
-0.04412842,-0.26148,-0.086967,0,0,0
-0.04620994,-0.25152,-0.091399,0,0,0
-0.04840367,-0.23797,-0.096249,0,0,0
-0.0503524,-0.22228,-0.10043,0,0,0
-0.0521458,-0.20623,-0.10392,0,0,0
-0.0539098,-0.19063,-0.10658,0,0,0
-0.05635,-0.17183,-0.10947,0,0,0
-0.0588245,-0.15166,-0.11335,0,0,0
-0.0616518,-0.12919,-0.11791,0,0,0
-0.0641312,-0.10977,-0.12315,0,0,0
-0.0671153,-0.085389,-0.12953,0,0,0
-0.0696388,-0.059746,-0.13576,0,0,0
-0.0720594,-0.034373,-0.14106,0,0,0
-0.0744016,-0.011158,-0.1446,0,0,0
