X,Y,Z,Yaw,Pitch,Roll
-0.084440821,-0.068918107,-0.078416409,2.91505,-1.355,-0.97268
-0.083780196,-0.066803107,-0.079328597,2.894625,-1.351795,-0.965893333
-0.083034883,-0.064555458,-0.080298245,2.8742,-1.34859,-0.959106667
-0.082161758,-0.062108395,-0.081347152,2.856295,-1.34493,-0.952988333
-0.081131915,-0.05944334,-0.082477347,2.83839,-1.34127,-0.94687
-0.079930665,-0.056589898,-0.083671097,2.82646,-1.340305,-0.942823333
-0.078532383,-0.053574085,-0.084913636,2.81453,-1.33934,-0.938776667
-0.076900508,-0.050418326,-0.086193167,2.800875,-1.337555,-0.934725
-0.075004727,-0.047128568,-0.087505901,2.78722,-1.33577,-0.930673333
-0.072820977,-0.043694278,-0.088856058,2.77669,-1.33491,-0.928225
-0.070361758,-0.040120769,-0.090243362,2.76616,-1.33405,-0.925776667
-0.067676133,-0.036429202,-0.09166305,2.75734,-1.335545,-0.924505
-0.064817227,-0.032634617,-0.093114066,2.74852,-1.33704,-0.923233333
-0.061842227,-0.028745934,-0.094599066,2.74599,-1.34085,-0.924013333
-0.058822071,-0.024823682,-0.096101331,2.74346,-1.34466,-0.924793333
-0.055841446,-0.020979999,-0.097584769,2.7412,-1.348115,-0.925825
-0.052944883,-0.017320096,-0.099016526,2.73894,-1.35157,-0.926856667
-0.050136758,-0.013942257,-0.100366995,2.736815,-1.356335,-0.927576667
-0.047303633,-0.010776433,-0.10166762,2.73469,-1.3611,-0.928296667
-0.044214258,-0.007584245,-0.103010901,2.729815,-1.36531,-0.927756667
-0.040714415,-0.004200212,-0.104453753,2.72494,-1.36952,-0.927216667
-0.036726915,-0.000531748,-0.106017503,2.715265,-1.37413,-0.92447
-0.032371915,0.003305701,-0.107644222,2.70559,-1.37874,-0.921723333
-0.027966915,0.006988657,-0.109196722,2.70539,-1.37951,-0.921281667
-0.02375004,0.010315329,-0.110591644,2.70519,-1.38028,-0.92084
-0.01988004,0.013205614,-0.111799456,2.696615,-1.38611,-0.91727
-0.016267227,0.015780364,-0.112867777,2.68804,-1.39194,-0.9137
-0.012573477,0.018361382,-0.11392137,2.69374,-1.39516,-0.915296667
-0.008537227,0.021163573,-0.115039964,2.69944,-1.39838,-0.916893333
-0.003973477,0.024294944,-0.116258245,2.70429,-1.40079,-0.918645
0.001092148,0.02770898,-0.117550706,2.70914,-1.4032,-0.920396667
0.006423398,0.03120465,-0.118831644,2.710795,-1.403075,-0.921326667
0.011815742,0.034638837,-0.120041253,2.71245,-1.40295,-0.922256667
0.017096367,0.037926341,-0.121145628,2.709065,-1.40746,-0.92239
0.022146211,0.041029302,-0.122134417,2.70568,-1.41197,-0.922523333
0.026899961,0.043957195,-0.123020823,2.701295,-1.41323,-0.922256667
0.031292304,0.046689294,-0.123811644,2.69691,-1.41449,-0.92199
0.035257929,0.049174674,-0.124507269,2.684565,-1.414595,-0.919306667
0.038794179,0.051393388,-0.125113206,2.67222,-1.4147,-0.916623333
0.041961054,0.053356473,-0.125640081,2.661285,-1.414115,-0.914165
0.044897304,0.055140934,-0.126104573,2.65035,-1.41353,-0.911706667
0.047820429,0.056889746,-0.126529417,2.619455,-1.41452,-0.902031667
0.050866992,0.058684556,-0.126919534,2.58856,-1.41551,-0.892356667
0.054092617,0.060545681,-0.127262034,2.55826,-1.417795,-0.882573333
0.057411367,0.062407255,-0.127538753,2.52796,-1.42008,-0.87279
0.060595742,0.064117228,-0.127726253,2.51821,-1.421005,-0.869858333
0.063466054,0.065577304,-0.127815511,2.50846,-1.42193,-0.866926667
0.065890429,0.066742938,-0.127811917,2.45595,-1.425285,-0.850105
0.067846054,0.067628708,-0.12770723,2.40344,-1.42864,-0.833283333
