X,Y,Z,Yaw,Pitch,Roll
0.018285714,0.073142857,-0.026428571,180.0428571,-0.028571429,179.9857143
0.018540793,0.074845579,-0.030895927,180.0226597,-0.034781347,180.0011879
0.018734981,0.076468504,-0.035329699,180.0030175,-0.040714272,180.0161825
0.018868846,0.078012343,-0.039729829,179.9839269,-0.046372571,180.0307017
0.018942957,0.079477807,-0.044096257,179.9653843,-0.051758617,180.044749
0.018957884,0.080865608,-0.048428924,179.9473862,-0.05687478,180.058328
0.018914194,0.082176457,-0.052727771,179.9299291,-0.061723429,180.0714423
0.018812458,0.083411065,-0.056992739,179.9130094,-0.066306935,180.0840953
0.018653244,0.084570142,-0.061223769,179.8966236,-0.070627668,180.0962907
0.01843712,0.0856544,-0.0654208,179.880768,-0.074688,180.108032
0.018164656,0.08666455,-0.069583774,179.8654392,-0.0784903,180.1193228
0.017836421,0.087601304,-0.073712632,179.8506335,-0.082036938,180.1301665
0.017452983,0.088465371,-0.077807314,179.8363474,-0.085330286,180.1405669
0.017014911,0.089257465,-0.081867762,179.8225774,-0.088372713,180.1505273
0.016522775,0.089978294,-0.085893915,179.80932,-0.091166589,180.1600515
0.015977143,0.090628571,-0.089885714,179.7965714,-0.093714286,180.1691429
0.015378584,0.091209007,-0.093843101,179.7843283,-0.096018173,180.177805
0.014727666,0.091720313,-0.097766016,179.772587,-0.098080621,180.1860416
0.01402496,0.0921632,-0.1016544,179.761344,-0.099904,180.193856
0.013271033,0.092538379,-0.105508193,179.7505957,-0.101490681,180.2012519
0.012466455,0.092846561,-0.109327337,179.7403386,-0.102843034,180.2082328
0.011611794,0.093088457,-0.113111771,179.7305691,-0.103963429,180.2148023
0.01070762,0.093264779,-0.116861438,179.7212837,-0.104854236,180.2209639
0.009754501,0.093376237,-0.120576277,179.7124788,-0.105517827,180.2267212
0.008753006,0.093423543,-0.124256229,179.7041509,-0.105956571,180.2320777
0.007703704,0.093407407,-0.127901235,179.6962963,-0.10617284,180.237037
0.006607164,0.093328542,-0.131511235,179.6889116,-0.106169002,180.2416027
0.005463954,0.093187657,-0.135086171,179.6819931,-0.105947429,180.2457783
0.004274645,0.092985465,-0.138625984,179.6755374,-0.10551049,180.2495673
0.003039804,0.092722675,-0.142130613,179.6695409,-0.104860557,180.2529734
0.00176,0.0924,-0.1456,179.664,-0.104,180.256
0.000435803,0.09201815,-0.149034085,179.6589112,-0.102931189,180.2586508
-0.000932219,0.091577837,-0.15243281,179.6542708,-0.101656494,180.2609292
-0.002343497,0.091079771,-0.155796114,179.6500754,-0.100178286,180.2628389
-0.003797462,0.090524665,-0.159123939,179.6463214,-0.098498935,180.2643833
-0.005293545,0.089913228,-0.162416226,179.6430053,-0.096620811,180.2655661
-0.006831177,0.089246171,-0.165672914,179.6401234,-0.094546286,180.2663909
-0.00840979,0.088524207,-0.168893946,179.6376723,-0.092277728,180.266861
-0.010028814,0.087748047,-0.172079261,179.6356483,-0.08981751,180.2669802
-0.01168768,0.0869184,-0.1752288,179.634048,-0.087168,180.266752
-0.01338582,0.086035979,-0.178342504,179.6328677,-0.08433157,180.2661799
-0.015122665,0.085101494,-0.181420315,179.632104,-0.081310589,180.2652675
-0.016897646,0.084115657,-0.184462171,179.6317531,-0.078107429,180.2640183
-0.018710193,0.083079179,-0.187468016,179.6318117,-0.074724459,180.2624359
-0.020559739,0.08199277,-0.190437788,179.6322761,-0.071164049,180.2605239
-0.022445714,0.080857143,-1.93E-01,179.6331429,-0.067428571,180.2582857
-0.02436755,0.079673007,-1.96E-01,179.6344083,-0.063520395,180.255725
-0.026324676,0.078441075,-1.99E-01,179.6360689,-0.059441891,180.2528454
-0.028316526,0.077162057,-2.02E-01,179.6381211,-0.055195429,180.2496503
-0.030342529,0.075836665,-2.05E-01,179.6405614,-0.050783379,180.2461433
