X,Y,Z,Yaw,Pitch,Roll
2.28634575,2.6778976,-0.589927734,-52.24160831,29.65830785,-17.27665225
2.269928945,2.66939986,-0.583528607,-52.19137452,29.66281572,-17.18619128
2.253490609,2.660747629,-0.577148169,-52.13843935,29.66724962,-17.09502318
2.237031531,2.651941629,-0.570786667,-52.08281845,29.67161005,-17.00315339
2.220552495,2.642982579,-0.56444435,-52.02452744,29.6758975,-16.91058735
2.204054291,2.633871199,-0.558121463,-51.96358195,29.68011247,-16.8173305
2.187537704,2.62460821,-0.551818256,-51.89999762,29.68425545,-16.72338828
2.171003522,2.615194331,-0.545534974,-51.83379009,29.68832693,-16.62876613
2.154452531,2.605630282,-0.539271866,-51.76497498,29.6923274,-16.53346949
2.137885519,2.595916785,-0.533029178,-51.69356794,29.69625737,-16.43750381
2.121303272,2.586054558,-0.526807158,-51.61958458,29.70011732,-16.34087451
2.104706578,2.576044321,-0.520606053,-51.54304056,29.70390775,-16.24358705
2.088096223,2.565886796,-0.514426111,-51.46395149,29.70762915,-16.14564687
2.071472994,2.555582702,-0.508267578,-51.38233302,29.71128201,-16.04705939
2.054837679,2.545132759,-0.502130703,-51.29820077,29.71486683,-15.94783007
2.038191064,2.534537687,-0.496015732,-51.21157038,29.7183841,-15.84796435
2.021533936,2.523798207,-0.489922914,-51.12245749,29.72183431,-15.74746766
2.004867082,2.512915038,-0.483852494,-51.03087772,29.72521797,-15.64634544
1.988191289,2.501888901,-0.477804721,-50.93684672,29.72853555,-15.54460314
1.971507344,2.490720515,-0.471779841,-50.8403801,29.73178757,-15.4422462
1.954816034,2.479410602,-0.465778103,-50.74149352,29.7349745,-15.33928006
1.938118147,2.46795988,-0.459799753,-50.64020259,29.73809684,-15.23571015
1.921414468,2.45636907,-0.453845039,-50.53652296,29.74115509,-15.13154192
1.904705785,2.444638892,-0.447914208,-50.43047026,29.74414974,-15.02678081
1.887992885,2.432770066,-0.442007507,-50.32206012,29.74708128,-14.92143226
1.871276554,2.420763312,-0.436125185,-50.21130817,29.74995021,-14.8155017
1.854557581,2.408619351,-0.430267487,-50.09823005,29.75275702,-14.70899459
1.837836751,2.396338903,-0.424434661,-49.98284139,29.75550221,-14.60191636
